"country","year","mean","sd","q10","q90"
"Albania",1998,0.217129978,0.0317691031908093,0.1767723,0.257887
"Albania",1999,0.24342630265,0.0608469159421464,0.1681935,0.3234542
"Albania",2000,0.26915244875,0.0728881439851713,0.1787332,0.3675236
"Albania",2001,0.296395756,0.0679657591257704,0.2117659,0.3884552
"Albania",2002,0.3238981065,0.0435703499399087,0.2693759,0.3804624
"Albania",2003,0.3439050085,0.0799004136651078,0.2432608,0.4501477
"Albania",2004,0.3581455165,0.0963280400950367,0.2407192,0.4858412
"Albania",2005,0.373588949,0.0999555792651241,0.2464041,0.5059016
"Albania",2006,0.3872876725,0.0958974163077895,0.2672372,0.5165419
"Albania",2007,0.399360062,0.0823679624194183,0.2931949,0.5078668
"Albania",2008,0.413908582,0.0422978831344916,0.3595389,0.4675475
"Albania",2009,0.409356785,0.0825170123631876,0.3072249,0.5194054
"Albania",2010,0.40249368,0.100141956784991,0.2746277,0.5318834
"Albania",2011,0.3963762455,0.110672858707514,0.2547278,0.538836
"Albania",2012,0.38923867825,0.114746592048799,0.2399167,0.5415879
"Albania",2013,0.3825491891,0.114178042935143,0.2369927,0.5297206
"Albania",2014,0.3727687735,0.109199099003264,0.2388688,0.5155775
"Albania",2015,0.36364760325,0.0970038678101545,0.2411935,0.4914805
"Albania",2016,0.355835608,0.0718865565227093,0.2650047,0.4499739
"Albania",2017,0.346330784,0.0653828512673795,0.2655193,0.4341047
"Albania",2018,0.311152161,0.04139868788171,0.2594393,0.3665644
"Albania",2019,0.281858886,0.0603933896149206,0.2082254,0.3613901
"Albania",2020,0.27389996555,0.0733190891641771,0.1840503,0.3712773
"Albania",2021,0.2598758098,0.0676321781225576,0.1779357,0.352632
"Albania",2022,0.20200207535,0.0590683830181249,0.13164,0.2825527
"Algeria",2002,0.5999093255,0.0551032426695372,0.5291482,0.6697202
"Algeria",2003,0.5780017055,0.0903470459100025,0.4583474,0.6904374
"Algeria",2004,0.5578162305,0.111086636091843,0.4118117,0.6976478
"Algeria",2005,0.5361664625,0.123811587351277,0.3678033,0.6910095
"Algeria",2006,0.5161807605,0.131612885371509,0.345344,0.6859758
"Algeria",2007,0.4972203325,0.136018535710249,0.3246045,0.6772272
"Algeria",2008,0.47898149815,0.137666653819107,0.3018332,0.658687
"Algeria",2009,0.45994189575,0.142741680632209,0.2778684,0.6474858
"Algeria",2010,0.44002562855,0.137260862544124,0.2572247,0.6166542
"Algeria",2011,0.4191863528,0.1282501704539,0.2513012,0.5884465
"Algeria",2012,0.3945710975,0.111251770179953,0.2501419,0.5410602
"Algeria",2013,0.3699482505,0.08741085929006,0.2586377,0.4867843
"Algeria",2014,0.34884884,0.0509806919018053,0.2855586,0.4152908
"Algeria",2015,0.33872266,0.0805256051368303,0.2367837,0.4445595
"Algeria",2016,0.32585922755,0.0885374793290265,0.2178541,0.4418922
"Algeria",2017,0.312063737,0.0855608156380546,0.2059575,0.4299332
"Algeria",2018,0.300289991,0.073102737768339,0.2083919,0.398399
"Algeria",2019,0.284290876,0.0414198416065777,0.230813,0.3389038
"Argentina",1991,0.07761225935,0.0162535888299283,0.05763997,0.099007
"Argentina",1992,0.0933464805,0.0299198524106475,0.05854278,0.133834
